DOEID,REGIONC,DIVISION,METROMICRO,UATYP10,TYPEHUQ,KWH,KWHSPH,KWHCOL,KWHWTH,KWHRFG,KWHRFG1,KWHRFG2,KWHFRZ,KWHCOK,KWHMICRO,KWHCW,KWHCDR,KWHDWH,KWHLGT,KWHTVREL,KWHTV1,KWHTV2,KWHAHUHEAT,KWHAHUCOL,KWHEVAPCOL,KWHCFAN,KWHDHUM,KWHHUM,KWHPLPMP,KWHHTBPMP,KWHHTBHEAT,KWHNEC,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELRFG1,BTUELRFG2,BTUELFRZ,BTUELCOK,BTUELMICRO,BTUELCW,BTUELCDR,BTUELDWH,BTUELLGT,BTUELTVREL,BTUELTV1,BTUELTV2,BTUELAHUHEAT,BTUELAHUCOL,BTUELEVAPCOL,BTUELCFAN,BTUELDHUM,BTUELHUM,BTUELPLPMP,BTUELHTBPMP,BTUELHTBHEAT,BTUELNEC,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELRFG1,DOLELRFG2,DOLELFRZ,DOLELCOK,DOLELMICRO,DOLELCW,DOLELCDR,DOLELDWH,DOLELLGT,DOLELTVREL,DOLELTV1,DOLELTV2,DOLELAHUHEAT,DOLELAHUCOL,DOLELEVAPCOL,DOLELCFAN,DOLELDHUM,DOLELHUM,DOLELPLPMP,DOLELHTBPMP,DOLELHTBHEAT,DOLELNEC
13324,4,10,METRO,U,2,10251.967,1346.742,4165.272,0,709.139,709.139,0,0,0,508.319,65.102,0,223.212,825.661,640.638,358.712,53.082,111.879,239.99,0,384.272,0,0,0,0,0,1031.742,34979.71,4595.082,14211.908,0,2419.584,2419.584,0,0,0,1734.383,222.127,0,761.599,2817.156,2185.855,1223.925,181.116,381.73,818.847,0,1311.135,0,0,0,0,0,3520.304,2062.92,270.99,838.14,0,142.69,142.69,0,0,0,102.28,13.1,0,44.92,166.14,128.91,72.05,10.66,22.51,48.29,0,77.32,0,0,0,0,0,207.61
13325,4,8,METRO,U,5,3469.551,0,220.85,0,533.519,533.519,0,0,247.622,0,0,0,103.931,427.977,384.772,178.994,0,71.144,9.269,0,0,0,161.644,0,0,0,1308.822,11838.107,0,753.541,0,1820.366,1820.366,0,0,844.887,0,0,0,354.611,1460.259,1312.843,610.728,0,242.744,31.625,0,0,0,551.529,0,0,0,4465.701,462.95,0,29.47,0,71.19,71.19,0,0,33.04,0,0,0,13.87,57.11,51.34,23.76,0,9.49,1.24,0,0,0,21.57,0,0,0,174.64
13326,3,5,METRO,U,5,8964.323,0,2887.174,3312.576,545.751,545.751,0,0,237.613,10.191,70.98,795.006,0,265.553,224.75,193.972,30.552,0,123.435,0,0,0,0,0,0,0,491.293,30586.269,0,9851.038,11302.51,1862.102,1862.102,0,0,810.734,34.772,242.185,2712.562,0,906.066,766.846,661.832,104.243,0,421.16,0,0,0,0,0,0,0,1676.293,961.27,0,309.6,355.22,58.52,58.52,0,0,25.48,1.09,7.61,85.25,0,28.48,24.1,20.8,3.28,0,13.24,0,0,0,0,0,0,0,52.68
13327,4,10,METRO,U,1,4843,0,0,0,571.224,571.224,0,0,0,88.767,59.077,606.596,0,101.49,1710.359,91.634,56.952,0,0,868.255,18.245,0,0,0,0,0,818.991,16525,0,0,0,1949.016,1949.016,0,0,0,302.873,201.571,2069.706,0,346.284,5835.745,312.655,194.32,0,0,2962.486,62.252,0,0,0,0,0,2794.397,852,0,0,0,100.49,100.49,0,0,0,15.62,10.39,106.71,0,17.85,300.89,16.12,10.02,0,0,152.75,3.21,0,0,0,0,0,144.08
13328,1,2,METRO,U,3,4690,0,0,0,271.947,271.947,0,469.515,0,0,0,0,0,2395.431,367.448,263.951,0,544.006,0,0,0,0,0,0,0,0,641.654,16003,0,0,0,927.883,927.883,0,1601.985,0,0,0,0,0,8173.211,1253.733,900.601,0,1856.148,0,0,0,0,0,0,0,0,2189.323,796,0,0,0,46.16,46.16,0,79.69,0,0,0,0,0,406.56,62.36,44.8,0,92.33,0,0,0,0,0,0,0,0,108.9
13329,3,7,METRO,R,2,16440.719,0,9961.153,0,1144.347,486.155,658.192,451.851,184.594,138.946,64.001,653.326,153.046,811.136,600.902,313.364,52.618,274.732,675.106,0,784.806,0,0,0,0,0,542.773,56095.732,0,33987.454,0,3904.513,1658.761,2245.752,1541.717,629.835,474.084,218.372,2229.147,522.192,2767.596,2050.277,1069.198,179.533,937.387,2303.46,0,2677.757,0,0,0,0,0,1851.942,1664.59,0,1008.55,0,115.86,49.22,66.64,45.75,18.69,14.07,6.48,66.15,15.5,82.13,60.84,31.73,5.33,27.82,68.35,0,79.46,0,0,0,0,0,54.95
13330,3,5,METRO,U,2,9547,0,2454.373,3351.321,770.784,538.294,232.49,0,0,0,15.736,165.947,180.581,1014.522,132.593,78.224,15.61,157.694,143.671,0,541.65,0,0,0,0,0,618.129,32574,0,8374.321,11434.707,2629.915,1836.659,793.256,0,0,0,53.691,566.211,616.142,3461.549,452.407,266.9,53.261,538.052,490.205,0,1848.11,0,0,0,0,0,2109.056,1305,0,335.49,458.1,105.36,73.58,31.78,0,0,0,2.15,22.68,24.68,138.68,18.12,10.69,2.13,21.56,19.64,0,74.04,0,0,0,0,0,84.49
13331,4,10,METRO,C,2,18788.457,5278.627,563.993,8949.715,1127.397,481.954,645.443,0,245.539,150.858,40.98,523.429,155.533,264.955,389.895,236.085,52.876,94.573,28.666,0,31.997,0,0,0,0,0,942.3,64106.216,18010.675,1924.343,30536.428,3846.678,1644.427,2202.251,0,837.78,514.727,139.825,1785.94,530.68,904.027,1330.322,805.522,180.413,322.682,97.809,0,109.173,0,0,0,0,0,3215.126,2203.12,618.97,66.13,1049.43,132.2,56.51,75.68,0,28.79,17.69,4.81,61.38,18.24,31.07,45.72,27.66,6.19,11.09,3.36,0,3.75,0,0,0,0,0,110.49
13332,2,3,METRO,U,2,10231.273,0,2619.748,0,777.484,777.484,0,826.667,0,203.26,48.866,0,63.625,241.38,2576.15,725.233,105.598,1016.924,130.316,0,50.264,0,0,0,0,0,1676.589,34909.105,0,8938.58,0,2652.776,2652.776,0,2820.588,0,693.524,166.731,0,217.089,823.588,8789.825,2474.495,360.3,3469.743,444.64,0,171.5,0,0,0,0,0,5720.523,1380.01,0,353.36,0,104.87,104.87,0,111.5,0,27.42,6.59,0,8.58,32.56,347.47,97.65,14.22,137.16,17.58,0,6.78,0,0,0,0,0,226.14
13333,2,4,METRO,U,5,6133.736,2492.216,985.813,0,490.361,490.361,0,0,159.526,69.214,0,0,217.787,184.354,361.564,181.569,30.611,119.738,42.676,0,18.966,0,48.365,0,0,0,943.156,20928.309,8503.44,3363.595,0,1673.113,1673.113,0,0,544.304,236.159,0,0,743.088,629.015,1233.656,619.513,104.445,408.545,145.611,0,64.712,0,165.021,0,0,0,3218.049,694.13,282.03,111.56,0,55.49,55.49,0,0,18.05,7.83,0,0,24.65,20.86,40.92,20.49,3.45,13.55,4.83,0,2.15,0,5.47,0,0,0,106.73
13334,4,10,METRO,R,2,24070.971,10415.427,544.11,3881.017,2178.582,794.155,837.027,0,551.399,80.569,40.368,515.725,136.835,3059.919,538.342,84.885,16.303,249.701,34.774,0,0,962.379,0,0,0,0,881.824,82130.152,35537.437,1856.503,13242.031,7433.321,2709.657,2855.936,0,1881.374,274.901,137.735,1759.652,466.88,10440.444,1836.823,289.628,55.626,851.981,118.649,0,0,3283.637,0,0,0,0,3008.784,2307.73,998.55,52.16,372.08,208.86,76.14,80.25,0,52.86,7.72,3.87,49.44,13.12,293.36,51.61,8.13,1.56,23.94,3.33,0,0,92.27,0,0,0,0,84.54
13335,3,6,METRO,U,2,13204.205,366.131,780.631,8006.681,964.582,964.582,0,423.021,0,100.031,67.794,519.708,0,231.45,854.604,115.905,46.499,117.505,33.969,0,0,0,0,0,0,0,738.099,45052.746,1249.239,2663.512,27318.795,3291.152,3291.152,0,1443.347,0,341.307,231.311,1773.242,0,789.708,2915.909,395.468,158.655,400.929,115.901,0,0,0,0,0,0,0,2518.393,1358.05,37.66,80.29,823.49,99.21,99.21,0,43.51,0,10.29,6.97,53.45,0,23.8,87.9,11.9,4.78,12.09,3.49,0,0,0,0,0,0,0,75.91
